,anger,stress,disgust,fear,sadness,surprise,happiness,pleasent,anxiety,neutral,funny,boredom,relaxation,joy
anger,0,0,2,2,2,2,2,0,0,2,0,0,0,0
stress,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust,2,0,0,37,37,2,2,35,35,2,0,0,0,0
fear,2,0,37,0,37,2,2,35,35,2,0,0,0,0
sadness,2,0,37,37,0,2,2,35,35,2,0,0,0,0
surprise,2,0,2,2,2,0,2,0,0,2,0,0,0,0
happiness,2,0,2,2,2,2,0,0,0,2,0,0,0,0
pleasent,0,0,35,35,35,0,0,0,35,0,0,0,0,0
anxiety,0,0,35,35,35,0,0,35,0,0,0,0,0,0
neutral,2,0,2,2,2,2,2,0,0,0,1,1,0,0
funny,0,0,0,0,0,0,0,0,0,1,0,0,0,0
boredom,0,0,0,0,0,0,0,0,0,1,0,0,0,0
relaxation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joy,0,0,0,0,0,0,0,0,0,0,0,0,0,0
