Paper ID,Model ID,Paper (APA citation),Meta-data,,,,,,,,,Data type ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Participants,,,,,,Self-report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emotion elicitation techniques,,,,,,,,,,,,,,,,,,,,,,,EDA,,,,,,,,,,,,,,,,,"Affective model ('dimensional', 'categorical', '-')  ",Statistical Learning model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results - Highest Performance,,,,,,,,,,,,,,,,,,,,Reviewer,,,Comments:                                     ,,Discrepancia
,,,Authors,Title,Year,Source Title,Source Type,,,,First author's country affiliation,Original?                                                                                             (put an x)   ,,,,Database,,,,,,,,,,,,,,,,,,,,,,,,N                         (Sample Size),N Female:                                         e.g. 13,Age ,,,Country ,"Affective self-report questionnaire:                                    a) Yes; b) No; c) Relies on other's questionnaire                                                                      IF ""No"" GO TO ""Emotion elicitaion technique""",Affective questionaire,,,,,,Affective measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modality,,,,,Task type,,"Technique name                 IF 'ad hoc task' (i.e. it is not based on a validated technique), complete '-'",Technique clasification,,,,,,,,,,,,,,,,,,Techinque description,Elicitation duration (per sample):                                  ,,,,EDA Device:,,EDA sensor location,,,,,,,,,,,,,,,,Model type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Model's level:,,N Model Input (Samples or X):                                                    e.g. 255 ,Interpretation of the model/features                                                              ,,Public code,,Accuracy,Precision,F-Measure,Recall / Sensitivity / True Positive Rate,Specificity / True Negative Rate,False Positive Rate,False Negative Rate,ROC AUC,R2,R,MAE (Mean Absolute Error),Concordance Correlation Coefficient (CCC),Spearman’s ranking correlation,Mean square error (MSE),Root Mean Square Error (RMSE),"Pearson Correlation
Coefficient (r)","unweighted
average recall (UAR)",Matthews Correlation Coefficient,G-mean (Geometric mean),"Other                          (change name of the column, put an x, add a new ""Other "" column in ""Results"") ",Emma                                     (put an x),Lolo                                       (put an x),Agus                                         (put an x),,,
,,,,,,,,,,,,Private,Public,Both,Uppon request,"Database?                                       (put an x)                                                          IF ""x"", GO TO ""Statistical Learning Model"" after completing Data type ",Which Database?     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dimensional ,,,,,,,,,Categorical,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hemibody (e.g. right, left, dominant, non-dominant)",Hands,,,,,,,,,,Wrist,Chest (rectus abdominis),Left Lobe Temporalis,"Other?                                                 (change name of the column, put an x, add a new ""Other "" column in ""EDA sensor location"") ",,Classifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regressor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Device created by authors? (""homemade"" device)",Device specification  e.g. a) Neulog; b) BIOPAC,,Hands?,Fingers,,,,,,Phalanges,,,,,,,,Model Output               (Target or Y): Categories,,Types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Model Output (Target or Y): Dimension,,Types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dimensional?                     (put an x) ,Dimensions,,,,,,,,Categorical?                   (put an x) ,Categories,,,,,,,,,,,,,,,,,,,,,,,,,"Other measure                       (change name of the column, put an x, add a new ""Other "" column in ""Affective measure"") ",Other,"Multimodality?                     (put an x) 
",Modalities,,,,Active task,Pasive task,," IF ""Modalities"" == Visual                     Which visual elicitation?",,,," IF ""Modalities"" == Auditory         Which auditory elicitation?",,Multiple techniques,Driving,Imagination techniques /memory recall,Social interactions,Virtual Reality,Meditation,Reading,UX,TEM clips (Tactile Enhanced Multimedia),Videogame,Puzzle,Other,,Elicitation duration (xx m xx s),Elicitation duration Range    (xx m xx s - xx m xxs),Elicitation duration Mean    (xx m xx s),Elicitation duration Median    (xx m xx s),,,,,,,,,,,,,,,,,,,Number,Which categories?,Logistic Regression,Support Vector Machine (SVM),k-Nearest Neighbor (k-NN),Quadratic discrimant clasifier (QDA),Linear Discriminant Analysis (LDA),Tree based models,Naive Bayes,AVG,LASSO-T,Ridge-T,LASSO-VAR,Ridge-VAR,TPA,HDC-MER,HMM,Gradient boosting,Artificial Neural Network  (ANN),,,,,,,,,,,,,,,"radial basis function
(RBF) ",1R rule,JRip,Number,Which dimensions?,Linear Regression,Support Vector Regression (SVR),Polynomial Regression,Ridge regression,Logistic regression,Random Regression,knn,decision tree,Multilayer regression,Boosted regression trees,"Other                                                           (change name of the column, put an x, add a new ""Other "" column in ""Categories"") ",Artificial Neural Network  (ANN),,,,,,"Other                          (change name of the column, put an x, add a new ""Other "" column in ""Types"") ",,,,Did they interpret the results physiologically?                        (put an x),Interpretations of the model/features           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Journal     (put an x) ,Conference  (put an x) ,"Pre-print 
(put an x)","Other                          (change name of the column, put an x, add a new ""Other column""column in ""Source Type"")",,,,,,,DEAP    (put an x) ,AMIGOS     (put an x) ,MAHNOB    (put an x) ,CASE    (put an x) ,Ascertain,Cog.load,Multimodal Dyadic Behavior (MMDB),RECOLA,DECAF,Driving Workload,(AV+EC) 2015,Liris,SenseEmotion,PMEmo,AFEW,Hazumi1911,"Bio Vid Emo
DB",RCDAT,DREAMER,"Non-EEG Biosignals Data Set for
Assessment and Visualization of Neurological Status","Stress Recognition in Automobile
Drivers Data Set",PsPM-HRA1,"Other                          (change name of the column, put an x, add a new ""Other "" column in ""Which Database?"") ",,,Mean Age                                         e.g. 30,Median Age                                e.g. 30,Range Age:                                         e.g. 25-35,,,SAM    (put an x) ,Perceived Stress Scale (PSS),PANAS,DES,Affective Grid,"Other                          (change name of the column, put an x, add a new ""Other "" column in ""Affective questionaire"") ",,Valence,Arousal,Dominance,Like / Dislike,Familiarity,Stress,Engagement,"Other                          (change name of the column, put an x, add a new ""Other "" column in ""Dimension"") ",,Anger,Stress,Disgust,Fear,Sadness,Surprise,Happiness,Pleasant,Unpleasant,Anxiety,Neutral,Funny,Horror,Weepy,Boredom,Relaxation,Amusement,Confusion,Curiosity,Delight,flow/engagement,Frustration,Tenderness,Joy,"Other                          (change name of the column, put an x, add a new ""Other "" column in ""Categories"") ",,Other,,Visual,Auditory,Somatosensory,"Other measure                       (change name of the column, put an x, add a new ""Other "" column in ""Modalities"") ",,,,Pictures,Videos,Words,Other,Music,Other,,,,,,,,,,,,,,,,,,,,,,Thumb,Index,MIddle,Ring,Small,Little,Proximal,Medial,Distal,,,,,,,,,,,,,,,,,,,,,,,,Fully connected Layer?,Fully connected NN (or Multi layer perceptron),Convolutional NN,Recurrent NN,GRU (Gated Recurrent Units),LSTM,Cellular Neural Networks,AdaBoost DT,Quantum Neural Network (QNN),Probabilistic Neural Network (PNN),Backpropagation (BP),Extreme Learning Machine (ELM),ANN,Spiking Deep Belief Network (SDBN),"Other                          (change name of the column, put an x, add a new ""Other "" column in ""ANN"") ",,,,,,,,,,,,,,,,,Fully connected NN (or Multi layer perceptron),Convolutional NN,Recurrent NN,LSTM,PNN (probabilistic neural network),"Other                          (change name of the column, put an x, add a new ""Other "" column in ""ANN"") ",,Inter subject level,Intra subject level,,,,Public code?                                                                                (put an x),Where?,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,"Zangróniz, R., Martínez-Rodrigo, A., Pastor, J. M., López, M. T., & Fernández-Caballero, A. (2017). Electrodermal Activity Sensor for Classification of Calm/Distress Condition. Sensors (Basel, Switzerland), 17(10), E2324. https://doi.org/10.3390/s17102324
","Roberto Zangróniz, Arturo Martínez-Rodrigo, José Manuel Pastor, María T. López and Antonio Fernández-Caballero",Electrodermal Activity Sensor for Classification of Calm/Distress Condition,2017,Sensors,x,-,,-,Spain,x,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,-,45,20,-,-,-,Spain,Relies on other's questionnaire,x,,,,,-,-,-,-,-,-,-,,,-,-,-,,-,-,-,,-,,,,-,,,,,,,,,,,,,,-,-,-,-,x,-,-,-,-,x,IAPS,x,,,-,-,-,-,,-,-,-,,,,,,,-,"The participant sits in front of the experimentation monitor and the wearable is put in the wrist of the non-dominant hand (see Figure 1). In this regard, the experimentation monitor consists of a high resolution, 28 inch screen. When the technician verifies the proper functioning of the wearable and its communication with the software, the experiment starts. Firstly, the participant has to carefully read the general instructions of the experiment. Then, ten pictures that are labelled with high arousal and low valence are shown consecutively during 6 s each to the participant. Silences consisting of blank images with a fixed duration of 1 s are inserted before each picture used from the database. The pictures are selected randomly from the set of images that fulfil the condition. Therefore, the segment used for subsequent analysis is 70 s long (10 pictures 6 s duration, plus one blank image before each picture). In this sense, a single presentation of many stimuli presented for a short period of time might favour the continuity of emotional state [29]. Afterwards, a distracting task is presented to the participant so that his/her emotional state comes to neutral. Next, the experiment continues by showing randomly another set of ten images from IAPS that fulfil the condition to be part of those previously labelled as low arousal and high valence. Therefore, two segments of data from each individual are finally obtained, one for calm condition and another for distress condition. Again, silences are used before each picture. Lastly, the distracting task is offered again.",6s,-,-,-,Yes,-,not dominant,-,-,-,-,-,,-,-,-,-,x,,,-,dimensional,2,"calm, distress",-,-,-,,-,x,-,,,,,,,,,,,-,-,-,,-,,,,,,,,,-,,,-,-,-,-,-,,,,,,,,,-,-,-,-,-,,-,-,x,-,?,-,-,-,-,89.18,-,-,93.9,85.36,-,,-,-,,-,,,,,,,,,-,,,x,,,
2,2,"Liu, M., Fan, D., Zhang, X., & Gong, X. (2017). Human Emotion Recognition Based on Galvanic Skin Response Signal Feature Selection and SVM. 157–160. Scopus. https://doi.org/10.1109/ICSCSE.2016.0051
","Mingyang Liu, Di Fan, Xiaohan Zhang, Xiaopeng Gong",Human Emotion Recognition Based on Galvanic Skin Response Signal Feature Selection and SVM,2016,2016 International Conference on Smart City and Systems Engineering,-,x,,-,China,x,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,-,NF,NF,NF,NF,NF,China,No,-,,,,,-,-,-,-,-,-,-,,,-,-,-,,-,-,-,,-,,,,-,,,,,,,,,,,,,,-,-,-,x,X,X,-,-,-,x,-,?,,,?,?,?,-,,-,-,-,,,,,,,-,"All subjects are Junior in Jilin University of
Changchun, China. Materials for eliciting emotions are 4
video fragments cut elaborately from large amounts of
movies representing 4 different emotions, such as happiness,
grief, anger, and fear. Each fragment last 4-5 minutes and
was connected with a short video which also last 4-5
minutes for calm recovery. And we add the emotion when
people stay in calm. So there are 5 emotions that make the
pattern recognition.",-,4-5 m,-,-,x,"e-Health Sensor
Platform V2.0",-,x,-,x,x,-,,-,-,-,-,-,,,-,categorical,5,"Happiness, Grief, Fear, Anger, Calm",-,x,-,-,-,,-,,,,,,,,,,,-,-,-,,-,,,,,,,,,-,,,-,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,?,?,,-,,-,-,66.67,-,-,,,,,-,-,,-,,,,,,,,,-,-,-,x,,,
3,3,"Ayata, D., Yaslan, Y., & Kamasak, M. E. (2018). Emotion Based Music Recommendation System Using Wearable Physiological Sensors. IEEE Transactions on Consumer Electronics, 64(2), 196–203. Scopus. https://doi.org/10.1109/TCE.2018.2844736
","Ayata, D., Yaslan, Y., & Kamasak, M. E.
",Emotion Based Music Recommendation System Using Wearable Physiological Sensors,2018,IEEE Transactions on Consumer Electronics,x,-,,-,Turkey,-,-,-,-,x,x,-,-,-,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,,,-,-,-,,-,-,-,,-,,,,-,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,,-,-,-,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,-,dimensional,2,"LA, HA",-,-,-,-,-,-,-,,,,,,,,,,,-,-,-,,-,,,,,,,,,-,,,-,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71.53,-,-,-,-,-,,-,-,,-,,,,,,,,,-,-,-,x,,,
3,4,"Ayata, D., Yaslan, Y., & Kamasak, M. E. (2018). Emotion Based Music Recommendation System Using Wearable Physiological Sensors. IEEE Transactions on Consumer Electronics, 64(2), 196–203. Scopus. https://doi.org/10.1109/TCE.2018.2844736
","Ayata, D., Yaslan, Y., & Kamasak, M. E.
",Emotion Based Music Recommendation System Using Wearable Physiological Sensors,2018,IEEE Transactions on Consumer Electronics,x,-,,-,Turkey,-,-,-,-,x,x,-,-,-,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,,,-,-,-,,-,-,-,,-,,,,-,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,,-,-,-,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,-,dimensional,2,"LV, HV",-,-,-,-,-,,-,,,,,,,,,,,-,-,-,,-,,,,,,,,,-,,,-,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,x,,,-,,x,-,71.04,-,-,-,-,,,-,-,,-,,,,,,,,,-,-,-,x,,,
4,5,"Ali, M., Machot, F. A., Mosa, A. H., Jdeed, M., Machot, E. A., & Kyamakya, K. (2018). A Globally Generalized Emotion Recognition System Involving Different Physiological Signals. Sensors (Basel, Switzerland), 18(6), E1905. https://doi.org/10.3390/s18061905","Ali, M., Machot, F. A., Mosa, A. H., Jdeed, M., Machot, E. A., & Kyamakya, K.",A Globally Generalized Emotion Recognition System Involving Different Physiological Signals,2018,Sensors,x,-,,-,Austria,-,-,-,-,x,-,-,x,-,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,,,-,-,-,,-,-,-,,-,,,,-,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,,-,-,-,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,dimensional,4,"HAHV, HALV, LAHV, LALV",-,-,x,-,-,-,-,,,,,,,,,,,-,-,-,,-,,,,,,,,,-,,,-,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,x,-,-,-,-,-,-,64,-,-,-,-,-,,-,-,,-,,,,,,,,,-,-,-,x,,,
4,6,"Ali, M., Machot, F. A., Mosa, A. H., Jdeed, M., Machot, E. A., & Kyamakya, K. (2018). A Globally Generalized Emotion Recognition System Involving Different Physiological Signals. Sensors (Basel, Switzerland), 18(6), E1905. https://doi.org/10.3390/s18061906","Ali, M., Machot, F. A., Mosa, A. H., Jdeed, M., Machot, E. A., & Kyamakya, K.",A Globally Generalized Emotion Recognition System Involving Different Physiological Signals,2018,Sensors,x,-,,-,Austria,-,-,-,-,x,-,-,x,-,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,,,-,-,-,,-,-,-,,-,,,,-,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,,-,-,-,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,dimensional,4,"HAHV, HALV, LAHV, LALV",-,-,-,-,-,-,x,,,,,,,,,,,-,-,-,,-,,,,,,,,,-,,,-,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,x,-,-,-,-,-,-,53,-,-,-,-,-,,-,-,,-,,,,,,,,,-,-,-,x,,,
