paper_id,model_id,apa_citation,authors,title,year,source_title,source_type_journal,source_type_conference,source_type_preprint,first_author_country_affiliation
1,1,"Zangróniz, R., Martínez-Rodrigo, A., Pastor, J. M., López, M. T., & Fernández-Caballero, A. (2017). Electrodermal Activity Sensor for Classification of Calm/Distress Condition. Sensors (Basel, Switzerland), 17(10), E2324. https://doi.org/10.3390/s17102324
","Roberto Zangróniz, Arturo Martínez-Rodrigo, José Manuel Pastor, María T. López and Antonio Fernández-Caballero",Electrodermal Activity Sensor for Classification of Calm/Distress Condition,2017,Sensors,x,-,,Spain
2,2,"Liu, M., Fan, D., Zhang, X., & Gong, X. (2017). Human Emotion Recognition Based on Galvanic Skin Response Signal Feature Selection and SVM. 157–160. Scopus. https://doi.org/10.1109/ICSCSE.2016.0051
","Mingyang Liu, Di Fan, Xiaohan Zhang, Xiaopeng Gong",Human Emotion Recognition Based on Galvanic Skin Response Signal Feature Selection and SVM,2016,2016 International Conference on Smart City and Systems Engineering,-,x,,China
3,3,"Ayata, D., Yaslan, Y., & Kamasak, M. E. (2018). Emotion Based Music Recommendation System Using Wearable Physiological Sensors. IEEE Transactions on Consumer Electronics, 64(2), 196–203. Scopus. https://doi.org/10.1109/TCE.2018.2844736
","Ayata, D., Yaslan, Y., & Kamasak, M. E.
",Emotion Based Music Recommendation System Using Wearable Physiological Sensors,2018,IEEE Transactions on Consumer Electronics,x,-,,Turkey
3,4,"Ayata, D., Yaslan, Y., & Kamasak, M. E. (2018). Emotion Based Music Recommendation System Using Wearable Physiological Sensors. IEEE Transactions on Consumer Electronics, 64(2), 196–203. Scopus. https://doi.org/10.1109/TCE.2018.2844736
","Ayata, D., Yaslan, Y., & Kamasak, M. E.
",Emotion Based Music Recommendation System Using Wearable Physiological Sensors,2018,IEEE Transactions on Consumer Electronics,x,-,,Turkey
4,5,"Ali, M., Machot, F. A., Mosa, A. H., Jdeed, M., Machot, E. A., & Kyamakya, K. (2018). A Globally Generalized Emotion Recognition System Involving Different Physiological Signals. Sensors (Basel, Switzerland), 18(6), E1905. https://doi.org/10.3390/s18061905","Ali, M., Machot, F. A., Mosa, A. H., Jdeed, M., Machot, E. A., & Kyamakya, K.",A Globally Generalized Emotion Recognition System Involving Different Physiological Signals,2018,Sensors,x,-,,Austria
4,6,"Ali, M., Machot, F. A., Mosa, A. H., Jdeed, M., Machot, E. A., & Kyamakya, K. (2018). A Globally Generalized Emotion Recognition System Involving Different Physiological Signals. Sensors (Basel, Switzerland), 18(6), E1905. https://doi.org/10.3390/s18061906","Ali, M., Machot, F. A., Mosa, A. H., Jdeed, M., Machot, E. A., & Kyamakya, K.",A Globally Generalized Emotion Recognition System Involving Different Physiological Signals,2018,Sensors,x,-,,Austria
4,7,"Ali, M., Machot, F. A., Mosa, A. H., Jdeed, M., Machot, E. A., & Kyamakya, K. (2018). A Globally Generalized Emotion Recognition System Involving Different Physiological Signals. Sensors (Basel, Switzerland), 18(6), E1905. https://doi.org/10.3390/s18061907","Ali, M., Machot, F. A., Mosa, A. H., Jdeed, M., Machot, E. A., & Kyamakya, K.",A Globally Generalized Emotion Recognition System Involving Different Physiological Signals,2018,Sensors,x,-,,Austria
4,8,"Ali, M., Machot, F. A., Mosa, A. H., Jdeed, M., Machot, E. A., & Kyamakya, K. (2018). A Globally Generalized Emotion Recognition System Involving Different Physiological Signals. Sensors (Basel, Switzerland), 18(6), E1905. https://doi.org/10.3390/s18061908","Ali, M., Machot, F. A., Mosa, A. H., Jdeed, M., Machot, E. A., & Kyamakya, K.",A Globally Generalized Emotion Recognition System Involving Different Physiological Signals,2018,Sensors,x,-,,Austria
4,9,"Ali, M., Machot, F. A., Mosa, A. H., Jdeed, M., Machot, E. A., & Kyamakya, K. (2018). A Globally Generalized Emotion Recognition System Involving Different Physiological Signals. Sensors (Basel, Switzerland), 18(6), E1905. https://doi.org/10.3390/s18061909","Ali, M., Machot, F. A., Mosa, A. H., Jdeed, M., Machot, E. A., & Kyamakya, K.",A Globally Generalized Emotion Recognition System Involving Different Physiological Signals,2018,Sensors,x,-,,Austria
5,10,"Wei, J., Chen, T., Liu, G., & Yang, J. (2016). Higher-order Multivariable Polynomial Regression to Estimate Human Affective States. Scientific Reports, 6, 23384. https://doi.org/10.1038/srep23384","Wei, J., Chen, T., Liu, G., & Yang, J.",Higher-order Multivariable Polynomial Regression to Estimate Human Affective States.,2016,Scientific Reports,x,-,,China
